,sentence,label,badspelling sentence,predict_region,predict_label,predict_country,predict_city,region,country,city,Aleppo,Algiers,Alexandria,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddha,Jerusalem,Khartoum,Mosul,Modern Standard Arabic,Muscat,Rabat,Riyadh,Salt,Sana'a,Sfax,Tripoli,Tunis
27,امين يا رب تنفرج ع كل الطلاب ويخلصوا من هل كابوس ويطمنوا اهلهم عليهم حتى يكملوا دراستهم ونفسيتهم مرتاحة وحاسين بالاستقرار وقيمة مصرياتن لي صمدوها عشان يعلموا ولادهم راحت قيمتها الله يكون بعون الاهل وولادهم ويمرر هلازمة ع خير,BEI,امين يا رب تنفرج ع كل الطلاب ويخلصوا من هل كابوس ويطمنوا اهلهم عليهم حتي يكملوا دراستهم ونفسيتهم مرتاحه وحاسين بالاستقرار وقيمه مصرياتن لي صمدوها عشان يعلموا ولادهم راحت قيمتها الله يكون بعون الاهل وولادهم ويمرر هلازمه ع خير,Maghreb,TRI,Libya,Tripoli,Levant,Lebanon,Beirut,0.0018327946758397275,1.9906727076100256e-05,1.986857864423144e-06,0.00032110273067108286,6.304642702547061e-06,6.0636665911710275e-05,0.0009024860040155795,2.873296856968841e-06,0.0012635297644809933,8.961880682147066e-05,4.2530046301653125e-05,0.0007982650846796994,2.7431573554208803e-07,0.00042833578038475656,0.0004151112864537029,0.0008261805208097852,2.537232387178251e-05,7.278757173893648e-07,0.00030436338093064747,1.6823001429872138e-07,0.00047949070166528697,0.0003446802370350448,0.00016515744474277823,1.7726572298464267e-05,0.9916475543957418,2.8216313768639204e-06
28,الف تحية للجيش للبناني لصهران لرياحت الشعب يصهر وينبصط وافراد للجيش بعيدي عن عيالا الله ينصر الجيش ويبعد عنو ولاد لحرام وينعاد علجميع أنا هيدا المقال بس اللي كان ناقصني كرمال صير غني و شي مليون دولار,BEI,الف تحيه للجيش للبناني لصهران لرياحت الشعب يصهر وينبصط وافراد للجيش بعيدي عن عيالا الله ينصر الجيش ويبعد عنو ولاد لحرام وينعاد علجميع انا هيدا المقال بس اللي كان ناقصني كرمال صير غني و شي مليون دولار,Levant,BEI,Lebanon,Beirut,Levant,Lebanon,Beirut,1.7005284580486307e-06,1.4449663252004127e-09,1.603732429691379e-10,5.373118492572089e-07,4.953524286756364e-09,1.1460798163774389e-08,3.1558441725097825e-08,0.9999888521385997,2.2791876146673284e-08,8.871246365386463e-09,4.878753692041036e-06,6.571455824398785e-08,1.2077786717054324e-09,3.929461604795912e-08,1.0589991768326731e-06,1.0243693695826542e-08,2.891690053196625e-08,7.578107372073677e-12,5.5847601625998456e-09,1.7344160980465421e-09,1.7550701325113817e-08,2.6873353872344767e-06,1.989312642327243e-08,3.730171650788543e-09,8.877373139310953e-09,9.35936469565474e-10
29,هيك كِبروا منير وأنسي وصاروا بياخدوا العقل أحيان كتيرهالشي أعجوبة إنو كيف استوعبوا غياباتي وسفراتي وتقصيري معهم وكيف مش حاقدين عليي ولا ع جنس النساء وكيف كمان عندهم أخلاق وضمير وبيحترموا المرأة وقدراتها وقيمتها,BEI,هيك كبروا منير وانسي وصاروا بياخدوا العقل احيان كتيرهالشي اعجوبه انو كيف استوعبوا غياباتي وسفراتي وتقصيري معهم وكيف مش حاقدين عليي ولا ع جنس النساء وكيف كمان عندهم اخلاق وضمير وبيحترموا المراه وقدراتها وقيمتها,Levant,JER,Palestine,Jerusalem,Levant,Lebanon,Beirut,0.0022890302832687358,2.416040551264627e-07,6.34505894902776e-07,0.2382132694835199,2.045294820007047e-06,1.3529080290446302e-06,3.570730944987614e-06,0.0015387203263065206,1.3496702423412e-05,6.3930227217852234e-06,0.011556511081247686,2.9711788453338126e-06,5.687569450427817e-08,5.153983417381965e-05,0.6953353696987219,4.921248971864018e-06,3.7461069314917533e-07,1.332103228916062e-08,2.5872198351990613e-06,5.3293331398068165e-08,7.891397087213504e-06,0.050952811616034946,6.58642317383194e-06,4.024819001652824e-07,9.019254103023338e-06,1.3560316942674862e-07
30,بيشتغلوا من قلبهم وبنزاهة وصدق وأمور تانية كتير رائعة موجودة فيهم هل هوي حظّ ما بعرف شو ما كان السبب أنا ممتنة بجنون ممتنة لدرجة النشوة ممتنة بتواضع هائل هائل,BEI,بيشتغلوا من قلبهم وبنزاهه وصدق وامور تانيه كتير رائعه موجوده فيهم هل هوي حظ ما بعرف شو ما كان السبب انا ممتنه بجنون ممتنه لدرجه النشوه ممتنه بتواضع هائل هائل,Levant,BEI,Lebanon,Beirut,Levant,Lebanon,Beirut,0.0008210408480080998,4.810602061938067e-08,1.6938341054931825e-06,0.11628943208014803,8.819147867599981e-06,6.1544856500587065e-06,7.323928267518623e-06,0.7591104430673183,5.246898180402861e-06,0.00012331483410903273,0.11557767929162203,4.367750315498388e-06,2.1757333466075973e-08,2.4925524890626883e-05,0.004018627969652961,6.852922866751046e-05,1.1109394479611562e-05,8.255748712286557e-08,2.5535529887484712e-05,7.288567298702768e-09,3.0385810502172075e-05,0.003677554517069865,0.0001267014796783198,1.4125402373871374e-07,6.0764276559447736e-05,4.913958747375287e-08
31,جبت ولدين ع الدني حبيباتي وروح قلبي منير وأنسي بس عندي ولاد كتير إنتو كل يوم عم تزيدوا وكل يوم عم تخلقوا أقوياء وأحرار من رحمي شكرا ع هالهدية يلي ما بتتقدر هدية إنكن موجودين بحياتي هدية إنكن دوا ليأسي من هالبلد حدكن أنا حدي إنتو,BEI,جبت ولدين ع الدني حبيباتي وروح قلبي منير وانسي بس عندي ولاد كتير انتو كل يوم عم تزيدوا وكل يوم عم تخلقوا اقوياء واحرار من رحمي شكرا ع هالهديه يلي ما بتتقدر هديه انكن موجودين بحياتي هديه انكن دوا لياسي من هالبلد حدكن انا حدي انتو,Levant,ALE,Syria,Aleppo,Levant,Lebanon,Beirut,0.8718170076627104,6.291002224407436e-08,3.695974882722081e-08,0.0006575158377660767,7.130535453392841e-07,7.577855463563864e-07,6.5260729065516165e-06,0.12276707286431995,1.193061806085997e-06,9.528271160085077e-06,0.0028919035432000127,1.6707905502615788e-06,1.1252643301519152e-08,3.0346009367640806e-06,0.0017728361893567625,2.0703379377803767e-06,5.401868747762534e-07,5.585627471029611e-09,5.477963141638393e-07,1.490460301573592e-08,6.235954058719162e-07,6.172806049002795e-05,1.705268462744533e-06,4.451327398389473e-08,2.8059951048553715e-06,4.289968617246123e-08
32,لو في عدل بهالدني ما كان أي حدا بينحرم من حدا بيحبو اليوم أنا وعايشة نعمة وجود يلي بحبهم حدي من بعد هالسنة اللعينة اللي قطعت علينا عم فكر كمان بكل شخص متألم بهالفترة أو حزين أو مشتاق أو مستفقد أو محتاج بتمنى من كل قلبي وروحي يصير شي أو يوصل حدا ع حياتكم,BEI,لو في عدل بهالدني ما كان اي حدا بينحرم من حدا بيحبو اليوم انا وعايشه نعمه وجود يلي بحبهم حدي من بعد هالسنه اللعينه اللي قطعت علينا عم فكر كمان بكل شخص متالم بهالفتره او حزين او مشتاق او مستفقد او محتاج بتمني من كل قلبي وروحي يصير شي او يوصل حدا ع حياتكم,Levant,BEI,Lebanon,Beirut,Levant,Lebanon,Beirut,8.099609421998633e-05,4.535047753890043e-09,4.2186876201284535e-09,1.656268820254869e-05,8.419814943574601e-08,2.7374898742895554e-07,3.6784828816636594e-07,0.9991169557717969,3.5729452460342213e-07,3.590928345084757e-07,0.0006782496672144044,1.0833353955355805e-05,2.545752168361698e-09,6.142810941420553e-07,3.800661996946167e-05,2.748896770399284e-07,2.2170331402799016e-07,1.9490511922478572e-10,3.732474397148779e-07,1.748470986202892e-09,4.4870910648890846e-07,5.270808990614765e-05,1.655251440616191e-06,2.0567844153761463e-08,6.184848067279976e-07,5.15436466345539e-09
33,النائب نفسه خرب الدنيا عندما إقترب أحدهم من إبنته و هي تحتفظ بأبنائها على عكس بنات الطائفة الكريمة و عندما حاول طليقها إيذاؤها واجهه بالسلاح يخفف من حِمل وجعكم أوقات نقطة ضو بتعبي كل العتمة بغمركم وببعتلكم حب كتير,BEI,النائب نفسه خرب الدنيا عندما اقترب احدهم من ابنته و هي تحتفظ بابنائها علي عكس بنات الطائفه الكريمه و عندما حاول طليقها ايذاؤها واجهه بالسلاح يخفف من حمل وجعكم اوقات نقطه ضو بتعبي كل العتمه بغمركم وببعتلكم حب كتير,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Levant,Lebanon,Beirut,0.0003356840843458469,0.0002488919913911357,5.472637211409104e-06,0.0023605329260813364,2.7915256306146055e-05,0.00019433141263071167,0.000524216292429074,8.482135161065179e-05,0.0010424504748692053,0.0001550813046297858,0.001300090662655374,0.0001294111012615273,4.450728224183708e-06,0.0004743412296921927,0.04295560132705338,0.008242754351776568,0.0028444924185688316,0.48978706440417635,0.4075004500924875,6.154188751182107e-07,0.025698911417264863,0.005974318927256138,0.006715844554306281,1.879996003425231e-05,0.0033709218014919507,2.5338733701969023e-06
34,حاسة حيصير انفجار نفسي عند هالبنات يلي بيعانو من ضغط بمجتمعهم بتخيل انو اغلبهم نفسيا حيتغيرو و ينحرفوا من هلا عم شوف و ارى الاعظم آت,BEI,حاسه حيصير انفجار نفسي عند هالبنات يلي بيعانو من ضغط بمجتمعهم بتخيل انو اغلبهم نفسيا حيتغيرو و ينحرفوا من هلا عم شوف و اري الاعظم ات,Levant,SAL,Jordan,Salt,Levant,Lebanon,Beirut,0.00020788206232756019,1.299573080865821e-07,2.3108022704915756e-08,0.00011017890272968545,1.645511947940834e-07,4.726108040395044e-07,2.103309291308934e-06,0.0002318193494557594,5.260954887737846e-06,1.3371296882606998e-06,0.0008979033871544687,1.2689304171544208e-06,1.1813994583591532e-08,4.829775858932835e-06,0.18818138153424266,2.6314463443542574e-06,6.408938990568871e-07,6.470427323125524e-09,1.524658578436783e-06,1.102258559365755e-08,4.477844870774106e-06,0.8103343753190687,1.5737657456193615e-06,7.36234792092091e-08,9.88920211872041e-06,2.8375504376836894e-08
35,الحفرة هاذي هي سبب من أسباب موت هاالنوارة الله يرحمها و ينعمها و إن شاء الله ربي يتقبلها بالرحمة,TUN,الحفره هاذي هي سبب من اسباب موت هاالنواره الله يرحمها و ينعمها و ان شاء الله ربي يتقبلها بالرحمه,Maghreb,SFX,Tunisia,Sfax,Maghreb,Tunisia,Tunis,3.509049866696751e-08,8.006377220944957e-06,2.7816067547246696e-09,9.222232120229445e-08,7.627611872154387e-08,2.1545655281200343e-06,1.0767933706458718e-06,3.5173007008016934e-08,6.660986527222885e-05,2.416679241600693e-07,3.5650539972879503e-07,2.185815675424243e-05,3.5390766002848486e-08,8.021784083982166e-07,2.7427777194661925e-07,3.368615292550943e-07,9.029564344154002e-07,8.107860861318264e-09,2.6705203967289713e-06,6.735824995137801e-08,5.807868670296368e-06,2.0921804308843604e-06,1.3972476981576955e-05,0.9893026807456703,0.010509576437251481,6.022716455541458e-05
36,الحمد لله مانيش مروح حتى تتفض جملة حكاية هالمرض و بعد يعمل ربي دليل,TUN,الحمد لله مانيش مروح حتي تتفض جمله حكايه هالمرض و بعد يعمل ربي دليل,Maghreb,SFX,Tunisia,Sfax,Maghreb,Tunisia,Tunis,4.779536690885612e-07,0.0001347644964088958,8.083618469184982e-08,1.1444582761770378e-06,6.646253478822546e-07,1.0719955983381887e-06,1.29414623871122e-06,4.563709026050686e-06,2.2549209724857002e-05,4.311739835370513e-06,2.4705627195855243e-06,1.8378283872634912e-06,2.866299574996599e-08,4.501763207707924e-06,8.997403103561143e-06,1.3919387675335805e-05,5.775621908865869e-07,3.1794556107204547e-09,2.9351480331333252e-06,1.1402108342352322e-07,1.2457966400068212e-05,3.223432766400636e-05,3.103397577921113e-06,0.9978620243798468,9.518386042883518e-05,0.0017886873789200706
37,الخامجة هذي و اتباعها معطلين مصالحنا و البرلمان ردوه سرك وكان مش باش نوقفوها عند حدها البلاد باش تمشي في هاوية,TUN,الخامجه هذي و اتباعها معطلين مصالحنا و البرلمان ردوه سرك وكان مش باش نوقفوها عند حدها البلاد باش تمشي في هاويه,Maghreb,TUN,Tunisia,Tunis,Maghreb,Tunisia,Tunis,9.322539397158162e-11,2.2636958058066546e-07,1.5893887341201496e-11,1.3974698708148862e-10,7.415659212742374e-11,6.183038499915175e-10,2.1626741539066914e-10,2.0644408392262826e-10,5.1945746450107716e-08,9.037170595644936e-10,1.8471669526159734e-10,1.0316359785386362e-09,1.074461319874767e-09,4.063295817520303e-10,1.166552237385806e-09,2.746276820471659e-10,4.875829592706789e-10,7.008150968747982e-12,6.785497252027899e-10,7.987424300566038e-09,3.0187314021610147e-09,2.3332063919734986e-09,1.8404081417999124e-09,0.00044425636573605984,9.32571184192593e-06,0.9995461168481051
38,صحيح حتى البقية مايصلحوش اما صدقوني هذي باش ترجعنا قرون للوراء وحدة نازية فاشية دكتاتورة كيف بوها لحنين و خاصة عميلة ووجودها في المجلس عندو أهداف لأجندات أجنبية,TUN,صحيح حتي البقيه مايصلحوش اما صدقوني هذي باش ترجعنا قرون للوراء وحده نازيه فاشيه دكتاتوره كيف بوها لحنين و خاصه عميله ووجودها في المجلس عندو اهداف لاجندات اجنبيه,Maghreb,SFX,Tunisia,Sfax,Maghreb,Tunisia,Tunis,9.947465427006933e-08,3.093634858142177e-05,8.595504627522531e-09,3.673244143833326e-07,3.243265000018792e-07,9.604786505498138e-06,1.5434461980977192e-06,2.603911345935997e-07,7.835261300078899e-05,1.89632617035696e-06,1.2010127575263135e-06,6.199734403387348e-06,3.507653696044557e-07,6.5824745836437085e-06,1.7191811194182115e-06,1.9070666656920962e-06,1.6402077169882236e-05,8.960696178978314e-09,1.2970740504947987e-05,4.918345077101719e-07,0.00013534735230272596,1.0217482647428045e-05,0.015425798978496379,0.8341720638011938,0.06688021737542145,0.08320512752949634
39,في كل ماتش متع بالميراس تهزو للستاد وبما انو ما يشوفش تقعد تحكيلو على كل هجمة ولا فرصة باش ولدها يعيش اللحظة اي نعم هاذي حاجة مالحاجات الي ما تنجم كان الام تعملهم لولدها ببرشا صبر ومحبة وربي يخليلكم امهاتكم ويرحم الي توفاو,TUN,في كل ماتش متع بالميراس تهزو للستاد وبما انو ما يشوفش تقعد تحكيلو علي كل هجمه ولا فرصه باش ولدها يعيش اللحظه اي نعم هاذي حاجه مالحاجات الي ما تنجم كان الام تعملهم لولدها ببرشا صبر ومحبه وربي يخليلكم امهاتكم ويرحم الي توفاو,Maghreb,SFX,Tunisia,Sfax,Maghreb,Tunisia,Tunis,4.5678071318361166e-11,5.859553111122623e-09,1.11162098376382e-12,5.887155910680338e-11,3.6102845793092e-11,3.975125479102372e-10,2.967508450197359e-10,2.685076234033863e-11,2.5947563892325527e-09,1.504998016330574e-10,6.354519385133418e-11,1.5268186574503583e-10,4.306261687104575e-11,1.4871410255994603e-10,1.6793449548640717e-10,1.334201406658451e-10,7.942564921553328e-10,1.802198317229052e-12,4.842571810695728e-10,5.569158063039604e-11,2.0450545311425955e-10,1.842002617800859e-09,1.4365649889885423e-09,0.9984325140079405,5.544437685088976e-07,0.0015669165521645342
40,مش زي الام الأمريكية يللي رمت بولدها المتوحد في البحيرة بارادتها وكامل قواها العقلية وهربت عنه وخلاته يموت وحده,TUN,مش زي الام الامريكيه يللي رمت بولدها المتوحد في البحيره بارادتها وكامل قواها العقليه وهربت عنه وخلاته يموت وحده,Maghreb,TRI,Libya,Tripoli,Maghreb,Tunisia,Tunis,2.7404277399339356e-05,7.919474608178476e-07,7.426431106825693e-05,0.005741290419673953,0.01130905884517602,0.00033196331629675713,0.0034522092977713,1.4133538777385604e-05,0.11470685789905387,0.20754779242700028,0.0027081548087904217,0.0010724412214962106,2.7967550730767326e-07,0.07135236661239958,0.045405124060946135,0.0005913783893079674,1.5071574703768922e-05,9.067157461813563e-08,0.0009944088369564408,4.105676144679401e-08,0.00168568506397216,0.010316100384242799,0.00840941470910454,4.094111256311326e-06,0.5142381353975135,1.4471457884321083e-06
41,ولما اكتشفو جريمتها وواجهوها بللي عملاتو لولدها قالت حجتها الواهية انه ولدها أصبح عبئ عليها من بعد أزمة الكورونا وعلى أساس قررت انها تموته باش يكون في مكان أفضل حسب خيالها,TUN,ولما اكتشفو جريمتها وواجهوها بللي عملاتو لولدها قالت حجتها الواهيه انه ولدها اصبح عبئ عليها من بعد ازمه الكورونا وعلي اساس قررت انها تموته باش يكون في مكان افضل حسب خيالها,Gulf,RIY,Saudi Arabia,Riyadh,Maghreb,Tunisia,Tunis,0.00017649003951637673,8.454224210518752e-05,0.00013389927920448553,0.005020183569747727,0.0038582265367108058,0.00036363253680271574,0.00058073029390983,5.6998633280522584e-05,0.002446152869474112,0.34029255738305964,0.0034133076380780617,0.0024170279841213473,2.674764602855908e-06,0.09754632896909483,0.1015185908506652,0.0015616669665986386,6.778484978073841e-05,5.113942004596106e-06,0.009316435229886743,1.1603631866610897e-06,0.40591723134358043,0.010102770112178621,0.002166989015196278,0.00014130433449008247,0.012785147325435783,2.3052927287890217e-05
42,في زمن الكورونا البنات ولاو يعشقو الذكر اللي يصبغ شعرو و يلبس بلوطة و يريقل حواجبو شاب تونسي صاحب صوت خيالي,TUN,في زمن الكورونا البنات ولاو يعشقو الذكر اللي يصبغ شعرو و يلبس بلوطه و يريقل حواجبو شاب تونسي صاحب صوت خيالي,Maghreb,TUN,Tunisia,Tunis,Maghreb,Tunisia,Tunis,8.445594876731516e-06,0.0027153744283784863,4.931578397446498e-07,0.00010979645031737606,6.081487407860725e-06,5.753798450618379e-06,1.4034475763652844e-05,0.0001420551336284265,0.0009059302898027436,6.324674465480616e-05,3.149023055383993e-05,0.00017763078322871687,9.067763574107329e-07,0.00017971898208169455,0.00043453067976652164,0.0006798920064588751,8.123383065522496e-06,2.393963229149508e-08,5.0341766183976166e-05,4.504772897517815e-06,0.001310926341983137,0.012749620642030994,0.00016106716217727444,0.40932206433910456,0.0006328706394429732,0.5702850759939142
43,علاش راكم تديرو لبلادكم هكذا علاش علاش راكم تقسمو في بلادكم شوفو لسوريا وليبيا والعراق علاش تبعو في العملاء كل مجموعة تسيرها دولة حتى تتقسم تونس الشقيقة,TUN,علاش راكم تديرو لبلادكم هكذا علاش علاش راكم تقسمو في بلادكم شوفو لسوريا وليبيا والعراق علاش تبعو في العملاء كل مجموعه تسيرها دوله حتي تتقسم تونس الشقيقه,Maghreb,SFX,Tunisia,Sfax,Maghreb,Tunisia,Tunis,8.64866018938553e-07,0.36732653486468575,2.3646878515320254e-08,6.675031810995119e-07,2.2724625412368276e-07,8.824173200405996e-07,5.652234878378861e-07,3.563640473501348e-07,5.558341240928323e-05,9.100486484579663e-07,1.4884379605382393e-06,2.6726418695096803e-06,9.273965398939634e-05,9.972085129636691e-06,1.0915329183001887e-06,1.338054966862834e-06,7.890608314324149e-07,4.266573884734593e-08,2.4676322175810584e-06,0.0044740819764335395,7.93733407488237e-06,2.3571423753967464e-06,1.1470512553873036e-05,0.6197876835703159,0.003195908553181331,0.00502134355251136
44,ونعم الام مش زي الام الأمريكية يللي رمت بولدها المتوحد في البحيرة بارادتها وكامل قواها العقلية وهربت عنه وخلاته يموت وحده.. ولما اكتشفو جريمتها وواجهوها بللي عملاتو لولدها,TUN,ونعم الام مش زي الام الامريكيه يللي رمت بولدها المتوحد في البحيره بارادتها وكامل قواها العقليه وهربت عنه وخلاته يموت وحده ولما اكتشفو جريمتها وواجهوها بللي عملاتو لولدها,Nile Basin,CAI,Egypt,Cairo,Maghreb,Tunisia,Tunis,7.325740958987394e-06,2.7024747666635095e-07,5.7956786112615885e-05,0.0006118242964497076,0.008302844344666264,1.7224603176811632e-05,1.9405759054002177e-05,3.137682309254757e-06,0.0019405868357662383,0.9596065494154674,0.00033940155884165055,6.819430511079948e-05,8.793331744168932e-08,0.001589247071287842,0.008301412416678563,0.00013399495640847416,1.5173616955444026e-06,2.9300419901229638e-08,4.4393505796030994e-05,3.242044726430969e-08,6.716585112860485e-05,0.0006082561592521571,0.0002587116887952565,1.048129331331661e-06,0.01801909462711539,2.8700293562615764e-07
45,قالت حجتها الواهية انه ولدها أصبح عبئ عليها من بعد أزمة الكورونا وعلى أساس قررت انها تموته باش يكون في مكان أفضل حسب خيالها,TUN,قالت حجتها الواهيه انه ولدها اصبح عبئ عليها من بعد ازمه الكورونا وعلي اساس قررت انها تموته باش يكون في مكان افضل حسب خيالها,Gulf,RIY,Saudi Arabia,Riyadh,Maghreb,Tunisia,Tunis,3.201469050766781e-05,3.594869910879178e-05,5.940050732493664e-06,0.0008689051284007058,0.00010671294012892849,0.0001356455059466148,0.00016192252939732012,8.81417410631134e-06,0.0005906677871473131,0.0007292800563011275,0.0007077185329131451,0.0007861725744081568,7.260418167884199e-07,0.02278025179054075,0.008250261910040477,0.00026256063481540576,3.123691298946895e-05,2.2696574006419427e-06,0.005997935826770124,1.9573385695438175e-07,0.9530901308573418,0.0024082844746657513,0.0005028344092852797,6.193947413327288e-05,0.0024318257773939746,9.80382985070594e-06
46,الصويردات مشاو على رواحهم يرحم والديك هبّطها راو تاعب بارش مسكين و ما لقاش شكون ياقف معاه ؛ خلّي صوتو يوصل,TUN,الصويردات مشاو علي رواحهم يرحم والديك هبطها راو تاعب بارش مسكين و ما لقاش شكون ياقف معاه  خلي صوتو يوصل,Maghreb,SFX,Tunisia,Sfax,Maghreb,Tunisia,Tunis,6.269492713442061e-08,1.419268810125895e-06,7.345322563977118e-10,5.715206132937804e-08,5.356552244271287e-09,6.932157335256243e-08,1.294304592733921e-07,2.9757323076411282e-08,2.6852844164821377e-06,3.003887682739194e-08,5.0130909929706276e-08,1.5758097657731987e-07,1.017983817033818e-08,1.2623758536665655e-07,3.8651437904738973e-07,1.1365109303225292e-07,2.414507694425888e-08,1.5835423581736784e-10,6.307039759929908e-08,7.576367441909488e-08,2.005891867473132e-07,7.05391414694523e-07,5.367631630001751e-07,0.9961712513692518,0.0017766729423676062,0.002045136472798737
47,إن شاء الله أي واحد يشوف التصاور هاذم و النساء الي ظهوراتها مقوسة يعاود يخمم ألف مرة قبل ما يلوح حاجة في الشارع,TUN,ان شاء الله اي واحد يشوف التصاور هاذم و النساء الي ظهوراتها مقوسه يعاود يخمم الف مره قبل ما يلوح حاجه في الشارع,Maghreb,TRI,Libya,Tripoli,Maghreb,Tunisia,Tunis,1.0681656339200331e-09,1.0232280682963553e-07,3.859011252513014e-10,8.028565288074675e-09,1.0214082010661818e-08,7.114284599850885e-07,1.682336626665904e-07,1.9249463960300068e-09,5.065454088849018e-06,1.2523968123847655e-07,2.0303022296658953e-08,3.318064344697375e-07,3.235319677922007e-09,1.118346759976663e-07,2.0363937746481778e-08,7.395691648579282e-08,1.1329686408029165e-07,4.3050707310823333e-10,1.1811198221876651e-07,2.026179526814553e-09,1.2540926179578412e-07,5.874552946968781e-08,2.1646333466855834e-06,0.0001330147647753775,0.9998559782386965,1.6685421904292152e-06
48,راجل سيد الرجال ربي يعينك نشالله حشاك انتي عون بلدي انتي الي بلاش بيك دود ياكلنا والزبال هوا في مخو ومنطقو وقلة تربية متاعهم الله وانتي الله يعنيك بلادك كلبة وناسها اللطف,TUN,راجل سيد الرجال ربي يعينك نشالله حشاك انتي عون بلدي انتي الي بلاش بيك دود ياكلنا والزبال هوا في مخو ومنطقو وقله تربيه متاعهم الله وانتي الله يعنيك بلادك كلبه وناسها اللطف,Maghreb,SFX,Tunisia,Sfax,Maghreb,Tunisia,Tunis,4.5433707969821114e-10,1.4838669835052252e-07,3.363353869016869e-11,1.547196066724072e-09,2.144274451066372e-09,2.5782942513241907e-08,2.0075024076996956e-08,1.1834068230032362e-09,6.509063356271238e-08,1.2444317944827282e-08,2.0066338722955935e-09,2.019944613129997e-08,4.618260256159018e-09,2.4908994399271793e-08,2.01893988624842e-09,2.5499764459288768e-09,5.761253378438482e-09,4.530745966264682e-11,5.092218943747754e-09,1.568344339070894e-08,7.826524334008358e-09,8.288638808181325e-09,2.72831353781197e-08,0.9999794212165445,6.395976702929197e-06,1.3779381515563482e-05
49,توة عندي أكثر من جمعتين كل من نوصل ولدي يقرأ نرا مرا الصباح شدا ولدها تكركر فيه بش تهزو يقرأ بالسيف و كي توصل قدام المكتب الطفل يدز أمو و يهرب يجري لا يخاف لا من كراهب ولا من حتى شيء المهم يهرب من المكتب حبيت نسألها,TUN,توه عندي اكثر من جمعتين كل من نوصل ولدي يقرا نرا مرا الصباح شدا ولدها تكركر فيه بش تهزو يقرا بالسيف و كي توصل قدام المكتب الطفل يدز امو و يهرب يجري لا يخاف لا من كراهب ولا من حتي شيء المهم يهرب من المكتب حبيت نسالها,Maghreb,SFX,Tunisia,Sfax,Maghreb,Tunisia,Tunis,8.181326257328168e-08,0.18415703039183898,7.890339602291885e-09,1.3024466210512367e-07,1.5690706991782015e-07,8.780288247966676e-07,8.413585327706325e-07,1.5817105466387576e-07,1.113778353453579e-05,5.456745216922452e-07,1.9784633862067008e-07,3.451065718261407e-07,1.0876670206700486e-06,1.2237093090451353e-05,4.816291704944792e-07,9.309972581132842e-07,2.773478626831449e-07,1.6789757548559613e-07,4.491927261527321e-06,5.666435565431959e-06,9.043917196307158e-06,2.961084811624137e-06,1.0128412387891649e-06,0.8109645916657058,4.413194950513692e-05,0.004781406330185449
50,أما بحكم إنو ماناش فرد مكتب كي نبدي راجعة ما نراهاش ياخي ليوم ريتها و كي العادة ولدها يبكي بالشهقة مشيتلو قتلو علاش تبكي قالي قلها تسيبني نحب نهرب وما نحبش نمشي نقرا قتلو علاش قالي المعلمة كل يوم تشوي فيا بالعصا وتقلي يا بهيم نخاف منها منعني أمان سخفني و حمملي قلبي كلمت أمو قلتلها إمشي للمعلمة وكلمها يا خي هبططت راسها قاتلي مشيتلها أما باقي عبددتو الله غالب,TUN,اما بحكم انو ماناش فرد مكتب كي نبدي راجعه ما نراهاش ياخي ليوم ريتها و كي العاده ولدها يبكي بالشهقه مشيتلو قتلو علاش تبكي قالي قلها تسيبني نحب نهرب وما نحبش نمشي نقرا قتلو علاش قالي المعلمه كل يوم تشوي فيا بالعصا وتقلي يا بهيم نخاف منها منعني امان سخفني و حمملي قلبي كلمت امو قلتلها امشي للمعلمه وكلمها يا خي هبططت راسها قاتلي مشيتلها اما باقي عبددتو الله غالب,Maghreb,SFX,Tunisia,Sfax,Maghreb,Tunisia,Tunis,4.167064348024705e-08,4.377266738847016e-06,1.6950595573380514e-09,4.400090496307359e-08,5.720848354643705e-08,1.4595690866457085e-07,1.2911046669221178e-07,4.8019258345504254e-08,5.155977729469048e-06,1.1582776533895342e-07,9.052785242234809e-08,3.293527446958866e-08,1.3609096926348055e-07,1.812321360343893e-07,8.707370184306455e-08,4.76544478639557e-08,5.109778955218911e-07,2.264055991807748e-09,3.4949450472563985e-08,6.504281854599971e-07,9.741414608490572e-08,3.0795954358812446e-07,9.552871661608852e-07,0.9959226676946936,0.00019446664058797765,0.0038696141359342924
